Year, Author, Rank, Raw_joke
2015, Darren Walsh, 1, "I just deleted all the German names off my phone. It's Hans free"
2015, Stewart Francis, 2, "Kim Kardashian is saddled with a huge arse ... but enough about Kanye West"
2015, Adam Hess, 3, "Surely every car is a people carrier?"
2015, Masai Graham, 4, "What's the difference between a 'hippo' and a 'Zippo'? One is really heavy, the other is a little lighter"
2015, Dave Green, 5, "If I could take just one thing to a desert island I probably wouldn't go"
2015, Mark Nelson, 6, "Jesus fed 5,000 people with two fishes and a loaf of bread. That's not a miracle. That's tapas"
2015, Tom Parry, 7, "Red sky at night. Shepherd's delight. Blue sky at night.  Day"
2015, Alun Cochrane, 8, "The first time I met my wife, I knew she was a keeper.  She was wearing massive gloves"
2015, Simon Munnery, 9, "Clowns divorce. Custardy battle"
2015, Grace The Child, 10, "They're always telling me to live my dreams. But I don't want to be naked in an exam I haven't revised for..."
2014, Tim Vine, 1, "I've decided to sell my Hoover... well, it was just collecting dust."
2014, Masai Graham, 2, "I've written a joke about a fat badger, but I couldn't fit it into my set."
2014, Mark Watson, 3, "Always leave them wanting more, my uncle used to say to me. Which is why he lost his job in disaster relief."
2014, Bec Hill, 4, "I was given some Sudoku toilet paper. It didn't work. You could only fill it in with number ones and number twos."
2014, Ria Lina, 5, "I wanted to do a show about feminism. But my husband wouldn't let me."
2014, Paul F Taylor, 6, "Money can't buy you happiness? Well, check this out, I bought myself a Happy Meal."
2014, Scott Capurro, 7, "Scotland had oil, but it's running out thanks to all that deep frying."
2014, Jason Cook, 8, "I've been married for 10 years, I haven't made a decision for seven."
2014, Felicity Ward, 9, "This show is about perception and perspective. But it depends how you look at it."
2013, Masai Graham, 2, "I've written a joke about a fat badger, but I couldn't fit it into my set."
2013, Rob Auton, 1, "I heard a rumour that Cadbury is bringing out an oriental chocolate bar. Could be a Chinese Wispa."
2013, Alex Horne,  2, "I used to work in a shoe-recycling shop. It was sole-destroying."
2013, Alfie Moore, 3, "I'm in a same-sex marriage... the sex is always the same."
2013, Tim Vine, 4, "My friend told me he was going to a fancy dress party as an Italian island. I said to him 'Don't be Sicily'."
